ecosystem,package,declared,locked,observed_latest,decision,reason,manifests,evidence,source
rust,anyhow,1.0.100,1.0.102; 1.0.103,1.0.104,Keep,Update both locks to 1.0.104. CLI is 1.0.102 and matches a downcast_mut unsoundness advisory; workspace is already 1.0.103. Error context is used throughout delivery code.,api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-postgres/Cargo.toml; crates/scope-product-analytics/Cargo.toml; crates/scope-service-runtime/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; repo-router/Cargo.toml; runner-runtime/Cargo.toml; worker/Cargo.toml,api/src/bin/scope_maintenance.rs:29; api/src/bin/scope_smoke_seed.rs:2; api/src/cache_grants.rs:16; api/src/config.rs:43; api/src/dev/env.rs:24; api/src/dev/mod.rs:24; api/src/env_guard.rs:1; api/src/error.rs:299; api/src/main.rs:1; api/src/maintenance_http.rs:38; api/src/media_grants.rs:17; api/src/object_store_config.rs:19,https://crates.io/api/v1/crates/anyhow
rust,apple-native-keyring-store,1.0.0,1.0.0,1.0.2,Keep,Update to 1.0.2 after macOS login/logout tests. Use the OS credential store; do not replace keychain behavior with files or custom native bindings.,cli/Cargo.toml,cli/src/auth.rs:197,https://crates.io/api/v1/crates/apple-native-keyring-store
rust,async-trait,0.1.89,0.1.89,0.1.92,Keep,"MultipartStore is used through Arc<dyn MultipartStore>. Native async trait syntax is not a drop-in replacement for this dynamic dispatch. Small macro dependency, already shared transitively.",crates/scope-git-storage/Cargo.toml,crates/scope-git-storage/src/file.rs:5; crates/scope-git-storage/src/memory.rs:2; crates/scope-git-storage/src/multipart.rs:2; crates/scope-git-storage/src/tests.rs:2; crates/scope-git-storage/src/tests/multipart_backend.rs:108,https://crates.io/api/v1/crates/async-trait
rust,aws-config,1.11.0,1.11.0,1.12.0,Keep,Owns AWS credential discovery for worker Lambda calls. Existing defaults already disable SSO and credential-process. Update with the AWS family after transport cleanup; do not write credential refresh yourself.,worker/Cargo.toml,worker/src/execution/ecs.rs:3; worker/src/execution/ecs/fake.rs:71,https://crates.io/api/v1/crates/aws-config
rust,aws-credential-types,1.3.0,1.3.0,1.3.0,Keep,Required by the existing SigV4 and SDK integrations. Replacing a credentials struct would not remove its transitive copy.,crates/scope-object-store/Cargo.toml,crates/scope-object-store/src/s3.rs:3,https://crates.io/api/v1/crates/aws-credential-types
rust,aws-sdk-lambda,1.142.0,1.142.0,1.147.0,Keep,"Used for the dispatch broker. Disable defaults and select default-https-client plus rt-tokio to remove its legacy TLS connector. Keep credential, signing, error and retry behavior in the SDK.",worker/Cargo.toml,worker/src/execution/ecs.rs:4; worker/src/execution/ecs/fake.rs:70,https://crates.io/api/v1/crates/aws-sdk-lambda
rust,aws-sdk-s3,1.144.0,1.144.0,1.149.0,Keep,"Handles durable multipart storage, streaming reads, completion and abort. Remove its legacy rustls feature while retaining default-https-client. Rewriting this protocol is a poor first dependency reduction.",crates/scope-git-storage/Cargo.toml,crates/scope-git-storage/src/multipart.rs:3,https://crates.io/api/v1/crates/aws-sdk-s3
rust,aws-sigv4,1.5.1,1.5.1,1.6.0,Keep,Signing and presigning for the small-object store. Signing correctness is not a good target for custom code. Coordinate updates with AWS credential and HTTP crates.,crates/scope-object-store/Cargo.toml,crates/scope-object-store/src/s3.rs:4,https://crates.io/api/v1/crates/aws-sigv4
rust,aws-smithy-http,0.64.0,0.64.0,0.64.0,Keep,Direct use is S3 label/path encoding. A local encoder could remove the declaration but aws-sigv4 and SDKs still require the crate. No meaningful dependency saving today.,crates/scope-object-store/Cargo.toml,crates/scope-object-store/src/s3.rs:11,https://crates.io/api/v1/crates/aws-smithy-http
rust,axum,0.8.7,0.8.9,0.8.9,Keep,"Shared HTTP routing, extraction and response layer for services and CLI callback server. Existing version is current. Rewriting would move framework work into product code.",api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-service-runtime/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; repo-router/Cargo.toml; worker/Cargo.toml,api/src/app.rs:2; api/src/auth/clerk.rs:541; api/src/auth/runtime.rs:7; api/src/auth/scope.rs:11; api/src/dev/mod.rs:13; api/src/dev/seed/tests.rs:283; api/src/error.rs:1; api/src/git/command.rs:131; api/src/git/content.rs:110; api/src/git/credentials.rs:9; api/src/git/http_backend.rs:4; api/src/git/import/repo_io.rs:632,https://crates.io/api/v1/crates/axum
