lockfile,package,version,decision,reason,parents,advisory_ids,advisory_action
Cargo.lock,adler2,2.0.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,miniz_oxide@0.8.9,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aead,0.5.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,chacha20poly1305@0.10.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aho-corasick,1.1.4,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,regex-automata@0.4.16; regex@1.13.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aliasable,0.1.3,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,ouroboros@0.18.5,,No OSV match on audit date; not a safety guarantee
Cargo.lock,allocator-api2,0.2.21,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,hashbrown@0.15.5; hashbrown@0.17.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,android_system_properties,0.1.5,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,iana-time-zone@0.1.65; os_info@3.15.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,anyhow,1.0.103,Keep,Update both locks to 1.0.104. CLI is 1.0.102 and matches a downcast_mut unsoundness advisory; workspace is already 1.0.103. Error context is used throughout delivery code.,api@0.1.0; scope-cache-service@0.1.0; scope-media-service@0.1.0; scope-media-worker@0.1.0; scope-postgres@0.1.0; scope-product-analytics@0.1.0; scope-repo-router@0.1.0; scope-runner-runtime@0.1.0; scope-service-runtime@0.1.0; worker@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,arc-swap,1.9.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,arrayvec,0.7.7,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,rust_decimal@1.42.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,async-compression,0.4.43,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,tower-http@0.6.11,,No OSV match on audit date; not a safety guarantee
